,xbin,zbin,bin.hits,lidar.pulses,sky.hits,can.hits,Freq,vai,,,,
554,25,1,0,0,0,0,1,0,,,,
555,25,2,0,0,0,0,1,0,,,,
556,25,3,0,0,0,0,1,0,,,,
557,25,4,80,584,0,584,1,1.460727559,,,,
558,25,5,13,584,0,584,1,0.322235486,,,,
559,25,6,286,584,0,584,1,3.156353604,,,,
560,25,7,0,0,0,0,1,0,,,,
561,25,8,0,0,0,0,1,0,,,,
562,25,9,93,584,0,584,1,1.622446039,,,,
563,25,10,112,584,0,584,1,1.837511273,,,,
564,25,11,0,0,0,0,1,0,,,,
565,25,12,0,0,0,0,1,0,,,,
566,25,13,0,0,0,0,1,0,,,,
567,25,14,0,0,0,0,1,0,,,,
568,25,15,0,0,0,0,1,0,,,,
569,25,16,0,0,0,0,1,0,,,,
570,25,17,0,0,0,0,1,0,,,,
571,25,18,0,0,0,0,1,0,,,,
572,25,19,0,0,0,0,1,0,,,,
573,25,20,0,0,0,0,1,0,,,,
574,25,21,0,0,0,0,1,0,,,,
575,25,22,0,0,0,0,1,0,,,,
576,26,0,0,0,0,0,1,0,,,,
577,26,1,0,0,0,0,1,0,,,,
578,26,2,0,0,0,0,1,0,,,,
579,26,3,0,0,0,0,1,0,,,,
580,26,4,0,0,0,0,1,0,,,,
581,26,5,59,584,0,584,1,1.1682586,,,,
582,26,6,469,584,0,584,1,3.977689207,,,,
583,26,7,15,584,0,584,1,0.36750636,,,,
584,26,8,41,584,0,584,1,0.878271348,,,,
585,26,9,0,0,0,0,1,0,,,,
586,26,10,0,0,0,0,1,0,,,,
587,26,11,0,0,0,0,1,0,,,,
588,26,12,0,0,0,0,1,0,,,,
589,26,13,0,0,0,0,1,0,,,,
590,26,14,0,0,0,0,1,0,,,,
591,26,15,0,0,0,0,1,0,,,,
592,26,16,0,0,0,0,1,0,,,,
593,26,17,0,0,0,0,1,0,,,,
594,26,18,0,0,0,0,1,0,,,,
595,26,19,0,0,0,0,1,0,,,,
