"","plot","mean.height_mean","mode.el_mean","height.2_mean","max.el_mean","mode.2_mean","max.can.ht_mean","mean.max.ht_mean","mean.vai_mean","max.vai_mean","deep.gaps_mean","porosity_mean","std.std_mean","mean.std_mean","rugosity_mean","top.rugosity_mean","plot_1_mean","mean.return.ht_mean","sd.return.ht_mean","sky.fraction_mean","cover.fraction_mean","max.ht_mean","rumple_mean","clumping.index_mean","mean.height_sd","mode.el_sd","height.2_sd","max.el_sd","mode.2_sd","max.can.ht_sd","mean.max.ht_sd","mean.vai_sd","max.vai_sd","deep.gaps_sd","porosity_sd","std.std_sd","mean.std_sd","rugosity_sd","top.rugosity_sd","plot_1_sd","mean.return.ht_sd","sd.return.ht_sd","sky.fraction_sd","cover.fraction_sd","max.ht_sd","rumple_sd","clumping.index_sd"
"31","GRSMW2",9.248063998,8.35,5.673589132,22,6.486717197,31.142,19.987375,6.564144464,8.04664723,0,0.7578125,594.2150898,15.40285685,18.89357274,8.841788077,NA,8.762316273,6.794509962,6.566121023,93.43387898,31.142,6.875,0.93407092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","GRSMXX",10.731208523,8.66166666675,4.679580865,24,5.3482783005,32.638,20.1662866675,7.06897089325,8.19465578325,0,0.684782666,1036.45450246,19.195536799,19.567384237,6.53713981525,NA,9.73241837675,5.86092149825,4.33395649725,95.6660435025,32.638,4.815,0.8709056185,2.71461818585198,2.37687236124399,2.04823246286653,5.41602560309064,2.58353111773488,6.31985458693473,3.23749860298605,0.694659450784655,0.260296087119274,0,0.0860891292130065,1281.52303815926,12.823048516565,14.686974437343,1.91944360027108,7.04154339142587,2.59043040293189,2.41433444753438,3.6058373059116,3.60583730480232,6.31985458693473,0.502361091911651,0.0567965186884666
"33","HARV33",10.6579935676667,9.16666666666667,4.09380007633333,23.6666666666667,5.688488957,26.1406666666667,19.525425,7.56992651766667,8.30337832066667,0,0.672934473,763.542132,18.5569892,18.4243416266667,5.54707913066667,NA,10.0581376986667,5.840443446,1.26642566466667,98.7335743366667,26.1406666666667,4.9,0.923919616666667,2.8833115123344,2.82094103684096,0.245691533630926,2.51661147842358,1.16716112022153,0.725970614648648,3.48322319922583,0.330150173527614,0.4560884459266,0,0.0310212579101654,632.733344512469,8.61138674443785,6.74017042345352,1.7399042535711,1,2.92916630894982,0.820401014253706,1.13350415548369,1.13350415514184,0.725970614648648,1.22193494098499,0.00839254872764294
"34","HARV34",5.906980739,4.75,4.6900940635,26,5.2816025375,28.2145,13.1658875,7.019685387,8.0378565255,0,0.7716954025,811.3832985,13.57680239,23.33033639,8.6131919055,NA,5.014162986,5.375866912,4.419345756,95.580654245,28.2145,5.9875,0.74101547,0.904540028490068,0.601040764008565,0.134431197704668,1.4142135623731,1.03590504572852,0.77993877964876,2.56144128183968,0.491431846286204,0.0100229480024319,0,0.00711170594568704,664.076187633277,2.93128591769674,12.5262061907214,1.31740405025792,0.707106781186548,0.836198744987016,0.226881427626524,4.1612555207892,4.16125551796077,0.77993877964876,0.583363094478902,0.146993282719741
"35","HARV35",7.1949762345,6.2875,2.102969041,15,2.9633786195,17.486,12.4201125,7.7369396245,8.0423830465,0,0.5293128655,53.391441395,5.933695824,3.8936332065,2.549635912,NA,6.5256323615,3.0404541935,0.990295108,99.00970489,17.486,3.325,0.747120329,0.300625100983042,0.618718433538229,0.568528127145683,1.4142135623731,0.814646744772244,0.772160605055709,0.117786312076149,0.372950904328023,0.0228445532270163,0,0.0135425423073034,32.571929216054,1.43438235212232,1.99679210137217,0.517440925097666,0.707106781186548,0.38132526751835,0.52231798976704,1.40048877248533,1.40048877531375,0.772160605055709,0.459619407771256,0.0793366836418444
"36","HARV36",10.3829063856667,8.24166666666667,4.56158287933333,20,5.283290755,27.599,18.5776833333333,7.33634466066667,8.101054014,0,0.714145299333333,720.292012633333,17.9900996833333,19.10051496,6.252108944,NA,9.64246820633333,6.01053107233333,1.76160345566667,98.2383965466667,27.599,5.88333333333333,0.941854251,0.86054897267456,0.5387098786298,0.116823130518027,1,0.254844456168256,1.84228906526636,1.45802120404963,0.323514721385037,0.0855782963895829,0,0.0110482278110892,370.157935537447,5.26007374006095,4.4787951070287,1.04115076153076,1,1.16958983559053,0.549433362200705,0.773117207331204,0.773117203594901,1.84228906526636,0.678847061813877,0.0243975013417702
"37","HARV37",7.30322984133333,6.15,3.849669445,17,4.614202627,21.664,13.7222583333333,7.41290691233333,8.244772612,0,0.644602272666667,147.384260286667,8.17076392533333,8.72165729633333,5.05039094666667,NA,6.74898226733333,4.754903974,1.48964707333333,98.5103529266667,21.664,4.225,0.888975839666667,1.83082961955666,2.13116752039815,1.11752714804324,2.64575131106459,1.16750853202419,1.17873194577902,0.691714556524824,0.157613291313067,0.314555025666199,0,0.0145497817799801,56.9163332729222,1.89996536256032,1.79540757608779,0.639233706496539,1,1.94316754001306,0.782244799385944,0.810949116559091,0.810949116814211,1.17873194577902,0.651440711039769,0.0467152680631906
"38","HARV38",5.23497772633333,4.4,2.57634682266667,19,3.12475115333333,23.0313333333333,9.95048333333333,7.791562688,8.56638762466667,0,0.739571204333333,120.615756133333,5.29771226266667,9.61345062833333,5.58491181566667,NA,4.50846283266667,2.97189706533333,0.503408742,99.49659126,23.0313333333333,4.25833333333333,0.759271239,0.735158118069597,0.935080210463252,0.609489699410758,8.54400374531753,1.12450893361006,4.37429598145042,0.491983513655014,0.0637062361089502,0.713180293382992,0,0.0501850324632985,6.19031009798499,0.426245089471522,0.125167973022642,1.75195174275993,1,0.671884939384867,0.118609378519243,0.385287335320021,0.385287334830539,4.37429598145042,0.700148793709832,0.0261050427531334
"39","HARV39",7.468398576,6.1625,3.836987086,19,4.4230842965,24.2275,15.073125,7.209570653,8.2892156865,0,0.699519231,362.8169307,12.868273485,13.809381495,6.357924599,NA,6.738104333,5.104724776,2.4324222915,97.567577705,24.2275,5.525,0.9112958815,2.04975901032637,1.57331258814007,0.0707370758290099,0,0.139734058743149,1.49411662864717,2.89775894464153,0.0100102024027016,0.298094034887202,0,0.0346754290191588,86.4442721047446,0.483163765487729,3.58014727386999,1.67934816719955,0.707106781186548,2.06741518380988,0.244747808399737,0.163703174088868,0.163703174795972,1.49411662864717,0.67175144212722,0.0279188914959532
"40","HARV40",6.001521459,5.175,2.900704649,18,3.89799628,24.011,11.229725,7.87812178,8.079404467,0,0.724,186.5560646,7.641354742,11.32103186,5.291873135,NA,5.586800878,4.074109941,0.173568063,99.82643194,24.011,4.525,0.800397152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
